"repo","level","compatLabel","minTrain","coversCurrent","manifestType","pkgName","engines","evidence"
"dyuan311/dsh-openai-codex-oauth","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-openai-codex-oauth","{""node"":"">=22.19.0""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-agent@^0.1.0-rc.6, @deepseek-ai/dsh-commands@^0.1.0-rc.6, @deepseek-ai/dsh-credentials@^0.1.0-rc.6, @deepseek-ai/dsh-llm@^0.1.0-rc.6, @deepseek-ai/dsh-user-questions@^0.1.0-rc.6, @deepseek-ai/schemastery@^3.18.1"
"why913/dshx","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","@why913/dshx","{""node"":"">=22.19""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/dsh-tools@^0.1.0-rc.6"
"jasonsun29/ds-balance-card","C","unknown","","false","none","ds-balance-card","","no manifest/deps at root; kind=plugin?; signals=keyword-plugin,keyword-dsh,readme-mentions-dsh"
"BeAChanger/dsh-openclaw-acp","B","0.1.0-rc.6+(inferred)","0.1.0-rc.6","false","cordis.patch.yml","dsh-openclaw-acp","{""node"":"">=22""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-acp@0.1.0-rc.6, @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/dsh@0.1.0-rc.6"
"DTSFO/dsh-model-modes","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-model-modes","{""node"":""^22.19 || >=24""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/cordis@^4.0.1-rc.1, @deepseek-ai/dsh-agent@*, @deepseek-ai/dsh-llm@*, @deepseek-ai/dsh-settings@*, @deepseek-ai/dsh-timeout@0.1.0-rc.6, @deepseek-ai/dsh-typert-protocol@*, @deepseek-ai/dsh-typert-registry@*, @deepseek-ai/dsh-invariants@*, @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/dsh-client-runtime@*, @deepseek-ai/dsh-client-ui-slots@*, @deepseek-ai/dsh-client-ui-conversation@*, @deepseek-ai/dsh-client-ui-model-selection@*, @deepseek-ai/dsh-client-locale@*, @deepseek-ai/dsh-client-web-react@^0.1.0-rc.6"
"shujiTech/dsh-plugin-wepre","B","declared","","true","cordis.patch.yml","dsh-plugin-wepre","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@*, @deepseek-ai/dsh-tools@*, @deepseek-ai/schemastery@*"
"lin-cheng-lab/dsh-reloader","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-reloader","","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-tools@^0.1.0-rc.6"
"omdsh-dev/dsh-pet-corner","B","0.1.0-rc.3+(inferred)","0.1.0-rc.3","true","cordis.patch.yml","@deepseek-ai/dsh-pet-corner","{""node"":"">=22.19.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@>=4.0.1-rc.1 <5.0.0, @deepseek-ai/schemastery@>=3.18.1-rc.1 <4.0.0, @deepseek-ai/dsh-settings@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-host-webserver@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-client-runtime@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-client-locale@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-client-ui-settings@>=0.1.0-rc.3 <0.2.0, @deepseek-ai/dsh-client-ui-slots@>=0.1.0-rc.3 <0.2.0"
"PangYiMing/dsh-bisect-debug","B","runtime-injected","","false","cordis.patch.yml","dsh-bisect-debug","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"omdsh-dev/dsh-auto-chess","B","declared","","false","cordis.patch.yml","@deepseek-ai/dsh-auto-chess","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-client-locale@^0.0.1, @deepseek-ai/dsh-client-runtime@^0.0.1, @deepseek-ai/dsh-client-ui-conversation@^0.0.1, @deepseek-ai/dsh-client-ui-primitives@^0.0.1, @deepseek-ai/dsh-client-ui-slots@^0.0.1, @deepseek-ai/dsh-host-webserver@^0.0.1, @deepseek-ai/dsh-invariants@^0.0.1, @deepseek-ai/dsh-llm@^0.0.1"
"randerous/dsh-turn-meta","B","declared-deps","","false","none","@deepseek-ai/dsh-turn-meta","","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/schemastery@workspace:^, @deepseek-ai/cordis@workspace:^, @deepseek-ai/dsh-agent@workspace:^, @deepseek-ai/dsh-agent-loop@workspace:^, @deepseek-ai/dsh-agent-loop-testkit@workspace:^, @deepseek-ai/dsh-llm@workspace:^, @deepseek-ai/dsh-session@workspace:^, @deepseek-ai/dsh-tools@workspace:^"
"ang-XWBWZ/Pwiki","D","not-a-plugin","","false","none","pwiki","{""node"":"">=22""}","catalog isDshPlugin=false, no manifest/deps"
"zcx369658780/governed-workflow-for-dsh","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-governed-workflow","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/schemastery@3.18.1, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-llm@0.1.0-rc.6, @deepseek-ai/dsh-session@^0.1.0-rc.6, @deepseek-ai/dsh-skill@^0.1.0-rc.6, @deepseek-ai/dsh-system-prompt@0.1.0-rc.6, @deepseek-ai/dsh-tools@^0.1.0-rc.6"
"MashedPotato817/dsh-tool-browser","B","0.1.0-rc.6+(declared-deps)","0.1.0-rc.6","true","none","dsh-tool-browser","{""node"":"">=18""}","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-system-prompt@^0.1.0-rc.6, @deepseek-ai/dsh-tools@^0.1.0-rc.6"
"YYTbit/dsh-plugin-meta-memory","B","runtime-injected","","false","cordis.patch.yml","dsh-plugin-meta-memory","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"syy-shark/dsh-music-plugin","B","declared","","true","cordis.patch.yml","dsh-music-plugin","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@>=4.0.0, @deepseek-ai/dsh-tools@*, @deepseek-ai/schemastery@*"
"PerryLink/dsh-auto-review","A","0.1.1-rc.2+","0.1.1-rc.2","true","cordis.patch.yml","dsh-auto-review","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml; ranges cover current (min=0.1.1-rc.2): @deepseek-ai/dsh-agent-spine-demo@0.1.1-rc.2, @deepseek-ai/dsh-app-boot@0.1.1-rc.2, @deepseek-ai/dsh-credentials-local@0.1.1-rc.2, @deepseek-ai/dsh-fs-observation-policy@0.1.1-rc.2, @deepseek-ai/dsh-fs-sandbox@0.1.1-rc.2, @deepseek-ai/dsh-home-paths@0.1.1-rc.2, @deepseek-ai/dsh-llm-deepseek@0.1.1-rc.2, @deepseek-ai/dsh-sandbox-local@0.1.1-rc.2, @deepseek-ai/dsh-sandbox-policy@0.1.1-rc.2, @deepseek-ai/dsh-session-persistence-jsonl@0.1.1-rc.2, @deepseek-ai/dsh-settings-file@0.1.1-rc.2, @deepseek-ai/dsh-subagent-fork-in-process@0.1.1-rc.2, @deepseek-ai/dsh-subagent-spawn-in-process@0.1.1-rc.2, @deepseek-ai/dsh-subprocess-local@0.1.1-rc.2, @deepseek-ai/dsh-tool-fs@0.1.1-rc.2, @deepseek-ai/dsh-tool-fs-search@0.1.1-rc.2, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/cordis-plugin-include@1.0.6, @deepseek-ai/cordis-plugin-loader@1.0.2, @deepseek-ai/dsh-agent@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-api-remotes@0.1.1-rc.2, @deepseek-ai/dsh-brand@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-client-connection@0.1.1-rc.2, @deepseek-ai/dsh-client-locale@0.1.1-rc.2, @deepseek-ai/dsh-client-runtime@0.1.1-rc.2, @deepseek-ai/dsh-client-ui-conversation@0.1.1-rc.2, @deepseek-ai/dsh-client-ui-slots@0.1.1-rc.2, @deepseek-ai/dsh-commands@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-invariants@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-llm@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-session@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-session-projection@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-subagent@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-tools@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/dsh-user-approval@>=0.1.1-rc.2 <0.2.0, @deepseek-ai/schemastery@^3.18.0"
"jelly-000/dsh-balance-monitor","B","runtime-injected","","false","cordis.patch.yml","dsh-balance-monitor","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"NEXTINDIE/DeepSeek-Harness-for-VS-Code","C","unknown","","false","none","dsh-vscode","{""vscode"":""^1.90.0""}","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"YYTbit/dsh-plugin-context-compressor","B","runtime-injected","","false","cordis.patch.yml","dsh-plugin-context-compressor","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"PangYiMing/dsh-batch-regression","B","runtime-injected","","false","cordis.patch.yml","dsh-batch-regression","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"ArtificialNotImbecile/dsh-context-taxonomy","B","0.1.0-rc.6+(declared-deps)","0.1.0-rc.6","false","none","dsh-context-taxonomy-workspace","{""node"":""^22.19.0 || >=24.0.0""}","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/cordis@4.0.1, @deepseek-ai/dsh-agent@0.1.0-rc.6, @deepseek-ai/dsh-api-gateway@0.1.0-rc.6, @deepseek-ai/dsh-brand@0.1.0-rc.6, @deepseek-ai/dsh-client-locale@0.1.0-rc.6, @deepseek-ai/dsh-client-runtime@0.1.0-rc.6, @deepseek-ai/dsh-client-ui-conversation@0.1.0-rc.6, @deepseek-ai/dsh-client-ui-primitives@0.1.0-rc.6, @deepseek-ai/dsh-client-ui-slots@0.1.0-rc.6, @deepseek-ai/dsh-llm@0.1.0-rc.6, @deepseek-ai/dsh-llm-retry@0.1.0-rc.6, @deepseek-ai/dsh-session@0.1.0-rc.6, @deepseek-ai/dsh-session-persistence@0.1.0-rc.6, @deepseek-ai/dsh-storage-domain@0.1.0-rc.6, @deepseek-ai/dsh-typert-generator@0.1.0-rc.6, @deepseek-ai/dsh-typert-protocol@0.1.0-rc.6, @deepseek-ai/schemastery@3.18.1"
"pandashere/dsh-kimi-bridge","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-kimi-bridge","{""node"":"">=22""}","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-tools@^0.1.0-rc.6"
"PangYiMing/dsh-browser-control","B","declared","","true","cordis.patch.yml","dsh-browser-control","{""node"":"">=20.11""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-tools@*, @deepseek-ai/cordis@*"
"SakalioLabs/dsh-code-ide","B","declared-deps","","false","none","dsh-code-ide","{""node"":""^22.19.0 || >=24.0.0""}","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/cordis@>=4.0.1-rc.1 <5"
"Scorp1o117/dsh-tdai-memory","B","0.1.0-rc.7+(declared-deps)","0.1.0-rc.7","true","none","dsh-tdai-memory","{""node"":"">=22.18""}","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/dsh-tools@^0.1.0-rc.7 || ^0.1.1-rc.1, @deepseek-ai/dsh-settings@^0.1.0-rc.7 || ^0.1.1-rc.1"
"Moeblack/dsh-skins","B","runtime-injected","","false","cordis.patch.yml","@dsh-external/dsh-web-skins","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
